experiment,senID,Group,item,type,condition,sentence,sentence2,world,W1,W2,W3,op1,op2,op3,op4
likelihood,1,A,LI-A-1,ziji,W1,李华说小明把  ,弄糊涂了。,lihua.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,李华
likelihood,2,A,LI-A-2,ziji,W2,李华说王刚把  ,出卖了。,wanggang.png,lihua.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,3,A,LI-A-3,ziji,W1,李华说王刚把  ,照顾得很好。,lihua.png,lihua.png,wanggang.png,other.png,自己,他自己,他,李华
likelihood,4,A,LI-A-4,ziji,W2,李华说张伟把  ,当成小孩子了。,zhangwei.png,lihua.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,5,A,LI-A-5,ziji,W1,小明说李华把  ,弄伤了。,xiaoming.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,小明
likelihood,6,A,LI-A-6,ziji,W2,小明说张伟把  ,想像成侦探了。,zhangwei.png,xiaoming.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,7,A,LI-A-7,ziji,W1,小明说李华把  ,灌醉了。,xiaoming.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,小明
likelihood,8,A,LI-A-8,ziji,W2,小明说李华把  ,绊倒了。,lihua.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,9,A,LI-A-9,ziji,W1,王刚说小明把  ,锁在教室里了。,wanggang.png,wanggang.png,xiaoming.png,other.png,自己,他自己,他,王刚
likelihood,10,A,LI-A-10,ziji,W2,王刚说小明把  ,逼得太紧了。,xiaoming.png,wanggang.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,11,A,LI-A-11,ziji,W1,王刚说张伟把  ,置于危险中了。,wanggang.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,王刚
likelihood,12,A,LI-A-12,ziji,W2,王刚说张伟把  ,气哭了。,zhangwei.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,13,A,LI-A-13,ziji,W1,张伟说王刚把  ,吓坏了。,zhangwei.png,zhangwei.png,wanggang.png,other.png,自己,他自己,他,张伟
likelihood,14,A,LI-A-14,ziji,W2,张伟说李华把  ,弄骨折了。,lihua.png,zhangwei.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,15,A,LI-A-15,ziji,W1,张伟说小明把  ,逗笑了。,zhangwei.png,zhangwei.png,xiaoming.png,other.png,自己,他自己,他,张伟
likelihood,16,A,LI-A-16,zijide,W2,小明说王刚把  ,的照片发到了朋友圈。,wanggang.png,xiaoming.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,17,A,LI-A-17,zijide,W1,小明说李华把  ,的演讲稿修改好了。,xiaoming.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,小明
likelihood,18,A,LI-A-18,zijide,W2,小明说张伟把  ,的想法忘记了。,zhangwei.png,xiaoming.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,19,A,LI-A-19,zijide,W1,小明说王刚把  ,的作业遗漏了。,xiaoming.png,xiaoming.png,wanggang.png,other.png,自己,他自己,他,小明
likelihood,20,A,LI-A-20,zijide,W2,王刚说李华把  ,的遭遇讲给了别人听。,lihua.png,wanggang.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,21,A,LI-A-21,zijide,W1,王刚说张伟把  ,的工作做完了。,wanggang.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,王刚
likelihood,22,A,LI-A-22,zijide,W2,王刚说小明把  ,的想法表达出来了。,xiaoming.png,wanggang.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,23,A,LI-A-23,zijide,W1,王刚说张伟把  ,的孩子搂在了怀里。,wanggang.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,王刚
likelihood,24,A,LI-A-24,zijide,W2,李华说王刚把  ,的证件弄丢了。,wanggang.png,lihua.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,25,A,LI-A-25,zijide,W1,李华说张伟把  ,的小狗找回来了。,lihua.png,lihua.png,zhangwei.png,other.png,自己,他自己,他,李华
likelihood,26,A,LI-A-26,zijide,W2,李华说小明把  ,的玩具模型弄坏了。,xiaoming.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,27,A,LI-A-27,zijide,W1,李华说小明把  ,的房间打扫干净了。,lihua.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,李华
likelihood,28,A,LI-A-28,zijide,W2,张伟说小明把  ,的秘密告诉了别人。,xiaoming.png,zhangwei.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,29,A,LI-A-29,zijide,W1,张伟说王刚把  ,的衣服捐掉了。,zhangwei.png,zhangwei.png,wanggang.png,other.png,自己,他自己,他,张伟
likelihood,30,A,LI-A-30,zijide,W2,张伟说李华把  ,的文件删除了。,lihua.png,zhangwei.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,31,A,LI-A-31,filler,W3,小明说张伟把,的花瓶打碎了。,other.png,xiaoming.png,zhangwei.png,other.png,自己,他自己,他,小明
likelihood,32,A,LI-A-32,filler,W3,张伟说王刚把,的桌面收拾得整整齐齐。,other.png,zhangwei.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,33,A,LI-A-33,filler,W3,王刚说李华把  ,夸奖了一番。,other.png,wanggang.png,lihua.png,other.png,自己,他自己,他,王刚
likelihood,34,A,LI-A-34,filler,W3,李华说小明把  ,训斥了一顿,other.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,1,B,LI-B-1,ziji,W2,李华说小明把  ,弄糊涂了。,xiaoming.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,2,B,LI-B-2,ziji,W1,李华说王刚把  ,出卖了。,lihua.png,lihua.png,wanggang.png,other.png,自己,他自己,他,李华
likelihood,3,B,LI-B-3,ziji,W2,李华说王刚把  ,照顾得很好。,wanggang.png,lihua.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,4,B,LI-B-4,ziji,W1,李华说张伟把  ,当成小孩子了。,lihua.png,lihua.png,zhangwei.png,other.png,自己,他自己,他,李华
likelihood,5,B,LI-B-5,ziji,W2,小明说李华把  ,弄伤了。,lihua.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,6,B,LI-B-6,ziji,W1,小明说张伟把  ,想像成侦探了。,xiaoming.png,xiaoming.png,zhangwei.png,other.png,自己,他自己,他,小明
likelihood,7,B,LI-B-7,ziji,W2,小明说李华把  ,灌醉了。,lihua.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,8,B,LI-B-8,ziji,W1,小明说李华把  ,绊倒了。,xiaoming.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,小明
likelihood,9,B,LI-B-9,ziji,W2,王刚说小明把  ,锁在教室里了。,xiaoming.png,wanggang.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,10,B,LI-B-10,ziji,W1,王刚说小明把  ,逼得太紧了。,wanggang.png,wanggang.png,xiaoming.png,other.png,自己,他自己,他,王刚
likelihood,11,B,LI-B-11,ziji,W2,王刚说张伟把  ,置于危险中了。,zhangwei.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,12,B,LI-B-12,ziji,W1,王刚说张伟把  ,气哭了。,wanggang.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,王刚
likelihood,13,B,LI-B-13,ziji,W2,张伟说王刚把  ,吓坏了。,wanggang.png,zhangwei.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,14,B,LI-B-14,ziji,W1,张伟说李华把  ,弄骨折了。,zhangwei.png,zhangwei.png,lihua.png,other.png,自己,他自己,他,张伟
likelihood,15,B,LI-B-15,ziji,W2,张伟说小明把  ,逗笑了。,xiaoming.png,zhangwei.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,16,B,LI-B-16,zijide,W1,小明说王刚把  ,的照片发到了朋友圈。,xiaoming.png,xiaoming.png,wanggang.png,other.png,自己,他自己,他,小明
likelihood,17,B,LI-B-17,zijide,W2,小明说李华把  ,的演讲稿修改好了。,lihua.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,18,B,LI-B-18,zijide,W1,小明说张伟把  ,的想法忘记了。,xiaoming.png,xiaoming.png,zhangwei.png,other.png,自己,他自己,他,小明
likelihood,19,B,LI-B-19,zijide,W2,小明说王刚把  ,的作业遗漏了。,wanggang.png,xiaoming.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,20,B,LI-B-20,zijide,W1,王刚说李华把  ,的遭遇讲给了别人听。,wanggang.png,wanggang.png,lihua.png,other.png,自己,他自己,他,王刚
likelihood,21,B,LI-B-21,zijide,W2,王刚说张伟把  ,的工作做完了。,zhangwei.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,22,B,LI-B-22,zijide,W1,王刚说小明把  ,的想法表达出来了。,wanggang.png,wanggang.png,xiaoming.png,other.png,自己,他自己,他,王刚
likelihood,23,B,LI-B-23,zijide,W2,王刚说张伟把  ,的孩子搂在了怀里。,zhangwei.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,24,B,LI-B-24,zijide,W1,李华说王刚把  ,的证件弄丢了。,lihua.png,lihua.png,wanggang.png,other.png,自己,他自己,他,李华
likelihood,25,B,LI-B-25,zijide,W2,李华说张伟把  ,的小狗找回来了。,zhangwei.png,lihua.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,26,B,LI-B-26,zijide,W1,李华说小明把  ,的玩具模型弄坏了。,lihua.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,李华
likelihood,27,B,LI-B-27,zijide,W2,李华说小明把  ,的房间打扫干净了。,xiaoming.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,28,B,LI-B-28,zijide,W1,张伟说小明把  ,的秘密告诉了别人。,zhangwei.png,zhangwei.png,xiaoming.png,other.png,自己,他自己,他,张伟
likelihood,29,B,LI-B-29,zijide,W2,张伟说王刚把  ,的衣服捐掉了。,wanggang.png,zhangwei.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,30,B,LI-B-30,zijide,W1,张伟说李华把  ,的文件删除了。,zhangwei.png,zhangwei.png,lihua.png,other.png,自己,他自己,他,张伟
likelihood,31,B,LI-B-31,filler,W3,小明说张伟把,的花瓶打碎了。,other.png,xiaoming.png,zhangwei.png,other.png,自己,他自己,他,小明
likelihood,32,B,LI-B-32,filler,W3,张伟说王刚把,的桌面收拾得整整齐齐。,other.png,zhangwei.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,33,B,LI-B-33,filler,W3,王刚说李华把  ,夸奖了一番。,other.png,wanggang.png,lihua.png,other.png,自己,他自己,他,王刚
likelihood,34,B,LI-B-34,filler,W3,李华说小明把  ,训斥了一顿,other.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,小明